Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1809362,2020-05-05,2020-05-05,,The Confession,https://www.imdb.com/title/tt1809362/,tvMiniSeries,7.6,63,2011,"Action, Crime, Drama, Thriller",5648,2011-03-14,
2,tt2312036,2020-05-05,2020-05-05,,East Los High,https://www.imdb.com/title/tt2312036/,tvSeries,6.8,26,2013,Drama,856,2013-06-03,
3,tt4789576,2020-05-05,2020-05-05,,The Path,https://www.imdb.com/title/tt4789576/,tvSeries,7.2,60,2016,Drama,9220,2016-03-30,
4,tt5875646,2020-05-05,2020-05-05,,Freakish,https://www.imdb.com/title/tt5875646/,tvSeries,6.1,22,2016,"Action, Drama, Horror, Sci-Fi, Thriller",3033,2016-10-10,
5,tt5620076,2020-05-05,2020-05-05,,Chance,https://www.imdb.com/title/tt5620076/,tvSeries,7.6,60,2016,"Drama, Mystery, Thriller",10742,2016-10-19,
6,tt5520392,2020-05-05,2020-05-05,,Shut Eye,https://www.imdb.com/title/tt5520392/,tvSeries,7.3,45,2016,"Crime, Drama, Fantasy",3920,2016-12-07,
7,tt2879552,2020-05-05,2020-05-05,,11.22.63,https://www.imdb.com/title/tt2879552/,tvMiniSeries,8.1,60,2016,"Drama, Mystery, Romance, Sci-Fi, Thriller",96478,2016-02-15,
8,tt5834204,2020-05-05,2020-05-05,,The Handmaid's Tale,https://www.imdb.com/title/tt5834204/,tvSeries,8.4,60,2017,"Drama, Sci-Fi, Thriller",253148,2017-04-24,
9,tt1236246,2020-05-05,2020-05-05,,Runaways,https://www.imdb.com/title/tt1236246/,tvSeries,6.8,60,2017,"Action, Drama, Sci-Fi",28028,2017-10-06,
10,tt6474236,2020-05-05,2020-05-05,,The Looming Tower,https://www.imdb.com/title/tt6474236/,tvMiniSeries,8.0,492,2018,"Drama, History",17070,2018-02-13,
11,tt6548228,2020-05-05,2020-05-05,,Castle Rock,https://www.imdb.com/title/tt6548228/,tvSeries,7.5,60,2018,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",50343,2018-07-20,
12,tt8427140,2020-05-05,2020-05-05,,Into the Dark,https://www.imdb.com/title/tt8427140/,tvSeries,6.3,90,2018,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",5284,2018-10-05,
13,tt8619822,2020-05-05,2020-05-05,,Light as a Feather,https://www.imdb.com/title/tt8619822/,tvSeries,6.5,23,2018,"Drama, Fantasy, Horror, Mystery, Thriller",3934,2018-01-01,
14,tt8682948,2020-05-05,2020-05-05,,The Act,https://www.imdb.com/title/tt8682948/,tvMiniSeries,7.9,425,2019,"Biography, Crime, Drama, Thriller",33944,2019-03-20,
15,tt9113406,2020-05-05,2020-05-05,,Wu-Tang: An American Saga,https://www.imdb.com/title/tt9113406/,tvSeries,8.3,49,2019,"Biography, Drama, Music",11007,2019-09-04,
16,tt3829868,2020-05-05,2020-05-05,,Looking for Alaska,https://www.imdb.com/title/tt3829868/,tvMiniSeries,8.0,426,2019,"Drama, Romance",13649,2019-10-18,
17,tt8594028,2020-05-05,2020-05-05,,Reprisal,https://www.imdb.com/title/tt8594028/,tvSeries,7.4,51,2019,"Action, Crime, Drama, Thriller",4702,2019-12-06,
18,tt8134186,2020-05-05,2020-05-05,,Devs,https://www.imdb.com/title/tt8134186/,tvMiniSeries,7.7,409,2020,"Drama, Mystery, Sci-Fi, Thriller",45594,2020-03-05,
19,tt8089592,2020-05-05,2020-05-05,,Little Fires Everywhere,https://www.imdb.com/title/tt8089592/,tvMiniSeries,7.7,463,2020,"Drama, Mystery, Thriller",53178,2020-03-18,
20,tt9244556,2020-05-05,2020-05-05,,Mrs. America,https://www.imdb.com/title/tt9244556/,tvMiniSeries,7.9,458,2020,"Biography, Drama, History",13265,2020-04-15,
21,tt2187319,2020-05-05,2020-05-05,,Battleground,https://www.imdb.com/title/tt2187319/,tvSeries,7.7,22,2012,"Comedy, Drama",333,2012-02-14,
22,tt2883562,2020-05-05,2020-05-05,,Quick Draw,https://www.imdb.com/title/tt2883562/,tvSeries,7.6,23,2013,"Comedy, Western",1578,2013-08-05,
23,tt3147316,2020-05-05,2020-05-05,,Deadbeat,https://www.imdb.com/title/tt3147316/,tvSeries,7.3,22,2014,"Comedy, Fantasy",5337,2014-04-09,
24,tt3453512,2020-05-05,2020-05-05,,The Hotwives of Orlando,https://www.imdb.com/title/tt3453512/,tvSeries,7.5,30,2014,Comedy,973,2014-07-15,
25,tt4633166,2020-05-05,2020-05-05,,The Hotwives of Las Vegas,https://www.imdb.com/title/tt4633166/,tvSeries,6.8,30,2015,Comedy,533,2015-08-18,
26,tt3432810,2020-05-05,2020-05-05,,The Neighbors,https://www.imdb.com/title/tt3432810/,tvSeries,2.7,24,2014,Comedy,557,2014-09-26,
27,tt4676574,2020-05-05,2020-05-05,,Difficult People,https://www.imdb.com/title/tt4676574/,tvSeries,7.1,30,2015,Comedy,4511,2015-08-05,
28,tt4577466,2020-05-05,2020-05-05,,Casual,https://www.imdb.com/title/tt4577466/,tvSeries,7.5,25,2015,"Comedy, Drama",9322,2015-10-07,
29,tt4975856,2020-05-05,2020-05-05,,Future Man,https://www.imdb.com/title/tt4975856/,tvSeries,7.7,30,2017,"Action, Adventure, Comedy, Fantasy, Sci-Fi",28022,2017-11-14,
