Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1190634,2021-08-10,2021-08-10,,The Boys,https://www.imdb.com/title/tt1190634/,tvSeries,8.7,60,2019,"Action, Comedy, Crime, Drama, Sci-Fi",613610,2019-07-16,
2,tt9064858,2021-08-10,2021-08-10,,Them,https://www.imdb.com/title/tt9064858/,tvSeries,7.4,45,2021,"Drama, Horror, Thriller",22672,2021-03-10,
3,tt7462410,2021-09-28,2021-09-28,,The Wheel of Time,https://www.imdb.com/title/tt7462410/,tvSeries,7.2,60,2021,"Action, Adventure, Drama, Fantasy",132422,2021-11-17,
4,tt9288030,2021-12-07,2021-12-07,,Reacher,https://www.imdb.com/title/tt9288030/,tvSeries,8.1,49,2022,"Action, Crime, Drama, Thriller",164347,2022-02-03,
5,tt11685912,2022-03-15,2022-03-15,,Outer Range,https://www.imdb.com/title/tt11685912/,tvSeries,7.1,60,2022,"Drama, Mystery, Thriller",31573,2022-04-15,
6,tt14016500,2022-05-16,2022-05-16,,The Summer I Turned Pretty,https://www.imdb.com/title/tt14016500/,tvSeries,7.3,45,2022,"Drama, Romance",37673,2022-06-16,
7,tt11743610,2022-03-15,2022-03-15,,The Terminal List,https://www.imdb.com/title/tt11743610/,tvSeries,7.9,55,2022,"Action, Drama, Thriller",103761,2022-06-30,
8,tt7631058,2021-08-10,2021-08-10,,The Lord of the Rings: The Rings of Power,https://www.imdb.com/title/tt7631058/,tvSeries,7.0,60,2022,"Action, Adventure, Drama, Fantasy",343515,2022-09-01,
9,tt14379784,2022-09-19,2022-09-19,,The Devil's Hour,https://www.imdb.com/title/tt14379784/,tvSeries,7.6,60,2022,"Drama, Thriller",23730,2022-10-27,
10,tt14273790,2023-01-04,2023-01-04,,The Rig,https://www.imdb.com/title/tt14273790/,tvSeries,5.8,51,2023,"Drama, Mystery, Sci-Fi, Thriller",12257,2023-01-05,
11,tt16152716,2023-01-04,2023-01-04,,The Consultant,https://www.imdb.com/title/tt16152716/,tvSeries,6.5,33,2023,"Comedy, Drama, Thriller",15467,2023-02-24,
12,tt14961048,2023-02-15,2023-02-15,,Swarm,https://www.imdb.com/title/tt14961048/,tvSeries,7.2,34,2023,"Comedy, Drama, Thriller",14296,2023-03-10,
13,tt10369484,2023-02-15,2023-02-15,,The Power,https://www.imdb.com/title/tt10369484/,tvSeries,6.6,,2023,"Drama, Fantasy, Sci-Fi",8614,2023-03-30,
14,tt9794044,2023-03-01,2023-03-01,,Citadel,https://www.imdb.com/title/tt9794044/,tvSeries,6.1,41,2023,"Action, Drama, Thriller",31591,2023-04-28,
15,tt15426714,2023-08-28,2023-08-28,,Wilderness,https://www.imdb.com/title/tt15426714/,tvSeries,6.3,,2023,"Drama, Thriller",8518,2023-09-13,
16,tt13159924,2023-07-26,2023-07-26,,Gen V,https://www.imdb.com/title/tt13159924/,tvSeries,7.8,50,2023,"Action, Adventure, Comedy, Drama, Sci-Fi",68959,2023-09-28,
17,tt8773420,2023-12-21,2023-12-21,,Expats,https://www.imdb.com/title/tt8773420/,tvSeries,7.5,96,2023,Drama,49,2023-10-09,
18,tt12637874,2023-12-21,2023-12-21,,Fallout,https://www.imdb.com/title/tt12637874/,tvSeries,,,2024,"Action, Adventure, Drama, Sci-Fi, War",,2024-04-12,
19,tt7826376,2021-08-10,2021-08-10,,Upload,https://www.imdb.com/title/tt7826376/,tvSeries,7.9,30,2020,"Comedy, Mystery, Sci-Fi",78065,2020-01-05,
20,tt10608454,2021-10-29,2021-10-29,,Harlem,https://www.imdb.com/title/tt10608454/,tvSeries,7.2,30,2021,Comedy,4921,2021-12-03,
21,tt15176890,2022-05-16,2022-05-16,,The Lake,https://www.imdb.com/title/tt15176890/,tvSeries,6.3,30,2022,"Comedy, Drama",2705,2022-06-16,
22,tt15040278,2022-11-02,2022-11-02,,Mammals,https://www.imdb.com/title/tt15040278/,tvSeries,5.9,30,2022,"Comedy, Drama",3732,2022-10-07,
23,tt14671640,2023-03-01,2023-03-01,,Class of '07,https://www.imdb.com/title/tt14671640/,tvSeries,7.3,,2023,Comedy,5414,2023-03-15,
24,tt14671678,2023-05-24,2023-05-24,,Deadloch,https://www.imdb.com/title/tt14671678/,tvSeries,7.4,60,2023,"Comedy, Crime",10011,2023-05-31,
25,tt13649510,2023-05-24,2023-05-24,,I'm a Virgo,https://www.imdb.com/title/tt13649510/,tvSeries,7.1,211,2023,"Comedy, Drama, Fantasy",3520,2023-03-31,
26,tt29231908,2023-10-18,2023-10-18,,SHE Must Be Obeyed,https://www.imdb.com/title/tt29231908/,tvSeries,6.6,,2023,"Comedy, Drama, Music",115,2023-09-29,
27,tt29518726,2023-12-21,2023-12-21,,In Your Dreams,https://www.imdb.com/title/tt29518726/,tvSeries,6.9,50,2023,"Action, Fantasy",102,2023-11-23,
28,tt14044212,2023-12-21,2023-12-21,,Mr. & Mrs. Smith,https://www.imdb.com/title/tt14044212/,tvSeries,,,2024,"Action, Comedy, Crime, Thriller",,2024-02-02,
29,tt6741278,2021-08-10,2021-08-10,,Invincible,https://www.imdb.com/title/tt6741278/,tvSeries,8.7,50,2021,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi, Thriller",183212,2021-03-25,
30,tt11247158,2021-10-29,2021-10-29,,The Legend of Vox Machina,https://www.imdb.com/title/tt11247158/,tvSeries,8.4,30,2022,"Animation, Action, Adventure, Comedy, Fantasy",38340,2022-01-13,
31,tt7216636,2023-12-21,2023-12-21,,Hazbin Hotel,https://www.imdb.com/title/tt7216636/,tvSeries,7.8,32,2024,"Animation, Comedy, Crime, Drama, Fantasy, Horror, Musical",5953,2019-10-28,
32,tt11828386,2023-12-21,2023-12-21,,The Second Best Hospital in the Galaxy,https://www.imdb.com/title/tt11828386/,tvSeries,,,2024,"Animation, Action, Adventure, Comedy, Sci-Fi, Thriller",,2024-02-23,
33,tt5712554,2021-08-10,2021-08-10,,The Grand Tour,https://www.imdb.com/title/tt5712554/,tvSeries,8.7,60,2016,"Comedy, Sport, Talk-Show",81265,2016-11-17,
34,tt10541088,2021-08-10,2021-08-10,,Clarkson's Farm,https://www.imdb.com/title/tt10541088/,tvSeries,9.0,45,2021,"Documentary, Comedy, Reality-TV",52666,2021-06-10,
