Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt8111088,2022-01-01,2022-01-01,,The Mandalorian,https://www.imdb.com/title/tt8111088/,tvSeries,8.7,40,2019,"Action, Adventure, Fantasy, Sci-Fi",570548,2019-11-12,
2,tt7423322,2022-01-01,2022-01-01,,The Right Stuff,https://www.imdb.com/title/tt7423322/,tvSeries,6.8,45,2020,"Drama, History",4161,2020-10-05,
3,tt9140560,2022-01-01,2022-01-01,,WandaVision,https://www.imdb.com/title/tt9140560/,tvMiniSeries,7.9,350,2021,"Action, Comedy, Drama, Fantasy, Mystery, Romance, Sci-Fi",360569,2021-01-15,
4,tt9208876,2022-01-01,2022-01-01,,The Falcon and the Winter Soldier,https://www.imdb.com/title/tt9208876/,tvMiniSeries,7.1,300,2021,"Action, Adventure, Drama, Sci-Fi",245971,2021-03-19,
5,tt9140554,2022-01-01,2022-01-01,,Loki,https://www.imdb.com/title/tt9140554/,tvSeries,8.2,586,2021,"Action, Adventure, Fantasy, Sci-Fi",397486,2021-06-09,
6,tt11875316,2022-01-01,2022-01-01,,The Mysterious Benedict Society,https://www.imdb.com/title/tt11875316/,tvSeries,7.6,,2021,"Action, Adventure, Comedy, Drama, Family, Mystery",5442,2021-06-25,
7,tt12225230,2022-01-01,2022-01-01,,"Doogie Kamealoha, M.D.",https://www.imdb.com/title/tt12225230/,tvSeries,7.0,30,2021,"Comedy, Drama, Family",3146,2021-09-08,
8,tt10160804,2022-01-01,2022-01-01,,Hawkeye,https://www.imdb.com/title/tt10160804/,tvMiniSeries,7.5,339,2021,"Action, Adventure, Crime, Mystery, Sci-Fi",207766,2021-11-11,
9,tt13668894,2022-01-01,2022-01-01,,The Book of Boba Fett,https://www.imdb.com/title/tt13668894/,tvMiniSeries,7.2,38,2021,"Action, Adventure, Sci-Fi",180325,2021-06-08,
10,tt8510382,2022-01-01,2022-01-01,,High School Musical: The Musical - The Series,https://www.imdb.com/title/tt8510382/,tvSeries,7.1,31,2019,"Comedy, Drama, Musical",8640,2019-11-08,
11,tt9695266,2022-01-01,2022-01-01,,Diary of a Future President,https://www.imdb.com/title/tt9695266/,tvSeries,6.7,30,2020,"Comedy, Drama, Family",1222,2020-01-17,
12,tt7939768,2022-01-01,2022-01-01,,The Mighty Ducks: Game Changers,https://www.imdb.com/title/tt7939768/,tvSeries,7.3,40,2021,"Comedy, Drama, Sport",5752,2021-03-26,
13,tt11238096,2022-01-01,2022-01-01,,Big Shot,https://www.imdb.com/title/tt11238096/,tvSeries,7.5,,2021,"Comedy, Drama, Sport",5278,2021-04-16,
14,tt11547014,2022-01-01,2022-01-01,,Turner & Hooch,https://www.imdb.com/title/tt11547014/,tvSeries,6.6,,2021,"Comedy, Crime, Drama, Family",4080,2021-07-21,
15,tt12286434,2022-01-01,2022-01-01,,Just Beyond,https://www.imdb.com/title/tt12286434/,tvSeries,6.2,24,2021,"Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",1995,2021-10-13,
16,tt12708542,2022-01-01,2022-01-01,,Star Wars: The Bad Batch,https://www.imdb.com/title/tt12708542/,tvSeries,7.8,30,2021,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi",48294,2021-05-04,
17,tt8610082,2022-01-01,2022-01-01,,Monsters at Work,https://www.imdb.com/title/tt8610082/,tvSeries,7.0,22,2021,"Animation, Adventure, Comedy, Family, Fantasy",8260,2021-07-02,
18,tt10516496,2022-01-01,2022-01-01,,Chip 'n' Dale: Park Life,https://www.imdb.com/title/tt10516496/,tvSeries,6.0,23,2021,"Animation, Short, Adventure, Comedy, Family",486,2021-07-23,
19,tt10168312,2022-01-01,2022-01-01,,What If...?,https://www.imdb.com/title/tt10168312/,tvSeries,7.4,32,2021,"Animation, Action, Adventure, Sci-Fi",134547,2021-08-11,
