Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt3502248,2020-08-18,2020-08-18,,Bosch,https://www.imdb.com/title/tt3502248/,tvSeries,8.5,51,2014,"Crime, Drama",80743,2014-02-06,
2,tt3973768,2020-08-18,2020-08-18,,Hand of God,https://www.imdb.com/title/tt3973768/,tvSeries,7.4,60,2014,"Crime, Drama",11913,2014-08-27,
3,tt1740299,2020-08-18,2020-08-18,,The Man in the High Castle,https://www.imdb.com/title/tt1740299/,tvSeries,7.9,2219,2015,"Drama, Sci-Fi, Thriller",108609,2015-01-13,
4,tt2805574,2020-08-18,2020-08-18,,Mad Dogs,https://www.imdb.com/title/tt2805574/,tvSeries,7.5,56,2015,"Comedy, Crime, Drama",8761,2015-01-15,
5,tt4687880,2020-08-18,2020-08-18,,Goliath,https://www.imdb.com/title/tt4687880/,tvSeries,8.1,60,2016,Drama,53018,2016-10-13,
6,tt4687892,2020-08-18,2020-08-18,,Good Girls Revolt,https://www.imdb.com/title/tt4687892/,tvSeries,8.1,55,2015,Drama,6173,2015-11-04,
7,tt5011816,2020-08-18,2020-08-18,,Sneaky Pete,https://www.imdb.com/title/tt5011816/,tvSeries,8.1,60,2015,"Crime, Thriller",39837,2015-08-06,
8,tt4878612,2020-08-18,2020-08-18,,Z: The Beginning of Everything,https://www.imdb.com/title/tt4878612/,tvSeries,7.0,27,2015,"Biography, Drama, History",4627,2015-10-31,
9,tt4687882,2020-08-18,2020-08-18,,Patriot,https://www.imdb.com/title/tt4687882/,tvSeries,8.2,58,2015,"Comedy, Drama, Thriller",17267,2015-11-03,
10,tt3390892,2020-08-18,2020-08-18,,The Last Tycoon,https://www.imdb.com/title/tt3390892/,tvSeries,7.6,61,2016,Drama,5506,2016-06-17,
11,tt6130902,2020-08-18,2020-08-18,,Lore,https://www.imdb.com/title/tt6130902/,tvSeries,6.6,40,2017,"Documentary, Horror, Mystery",5860,2017-10-12,
12,tt5057054,2020-08-18,2020-08-18,,Jack Ryan,https://www.imdb.com/title/tt5057054/,tvSeries,8.0,60,2018,"Action, Drama, Thriller",170232,2018-08-31,
13,tt6599482,2020-08-18,2020-08-18,,The Romanoffs,https://www.imdb.com/title/tt6599482/,tvSeries,7.0,60,2018,Drama,6331,2018-10-11,
14,tt7008682,2020-08-18,2020-08-18,,Homecoming,https://www.imdb.com/title/tt7008682/,tvSeries,7.4,30,2018,"Drama, Mystery, Thriller",26803,2018-09-07,
15,tt6932244,2020-08-18,2020-08-18,,Hanna,https://www.imdb.com/title/tt6932244/,tvSeries,7.6,60,2019,"Action, Drama",41571,2019-02-03,
16,tt6517320,2020-08-18,2020-08-18,,Too Old to Die Young,https://www.imdb.com/title/tt6517320/,tvMiniSeries,7.3,758,2019,"Crime, Drama, Thriller",10814,2019-06-14,
17,tt1190634,2020-08-18,2020-08-18,,The Boys,https://www.imdb.com/title/tt1190634/,tvSeries,8.7,60,2019,"Action, Comedy, Crime, Drama, Sci-Fi",613610,2019-07-16,
18,tt1869454,2020-08-18,2020-08-18,,Good Omens,https://www.imdb.com/title/tt1869454/,tvSeries,8.0,55,2019,"Comedy, Fantasy",108939,2019-05-27,
19,tt0489974,2020-08-18,2020-08-18,,Carnival Row,https://www.imdb.com/title/tt0489974/,tvSeries,7.7,56,2019,"Crime, Drama, Fantasy, Mystery, Thriller",80571,2019-08-29,
20,tt7456722,2020-08-18,2020-08-18,,Hunters,https://www.imdb.com/title/tt7456722/,tvSeries,7.2,60,2020,"Crime, Drama, Mystery",51737,2020-02-21,
21,tt8741290,2020-08-18,2020-08-18,,Tales from the Loop,https://www.imdb.com/title/tt8741290/,tvSeries,7.4,50,2020,"Drama, Sci-Fi",21986,2020-04-02,
22,tt3012184,2020-08-18,2020-08-18,,Betas,https://www.imdb.com/title/tt3012184/,tvSeries,6.9,27,2013,Comedy,2973,2013-04-19,
23,tt3012160,2020-08-18,2020-08-18,,Alpha House,https://www.imdb.com/title/tt3012160/,tvSeries,7.5,25,2013,"Comedy, Drama",4799,2013-04-19,
24,tt3496764,2020-08-18,2020-08-18,,Gortimer Gibbon's Life on Normal Street,https://www.imdb.com/title/tt3496764/,tvSeries,8.3,23,2014,"Adventure, Family, Fantasy",1617,2014-02-06,
25,tt3012532,2020-08-18,2020-08-18,,Annedroids,https://www.imdb.com/title/tt3012532/,tvSeries,6.3,24,2013,"Action, Family, Sci-Fi",404,2013-04-19,
26,tt3502262,2020-08-18,2020-08-18,,Transparent,https://www.imdb.com/title/tt3502262/,tvSeries,7.8,30,2014,"Comedy, Drama",23262,2014-02-06,
