Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1578887,2012-01-27,2012-01-27,,Luck,https://www.imdb.com/title/tt1578887/,tvSeries,7.4,52,2011,"Drama, Sport",6139,2011-12-11,
2,tt1509004,2012-01-27,2012-01-27,,Enlightened,https://www.imdb.com/title/tt1509004/,tvSeries,7.6,28,2011,"Comedy, Drama",9986,2011-10-10,
3,tt0944947,2012-01-27,2012-01-27,,Game of Thrones,https://www.imdb.com/title/tt0944947/,tvSeries,9.2,4189,2011,"Action, Adventure, Drama, Fantasy",2234337,2011-04-16,
4,tt0979432,2012-01-27,2012-01-27,,Boardwalk Empire,https://www.imdb.com/title/tt0979432/,tvSeries,8.6,55,2010,"Crime, Drama",200199,2010-09-19,
5,tt1279972,2012-01-27,2012-01-27,,Treme,https://www.imdb.com/title/tt1279972/,tvSeries,8.3,55,2010,"Drama, Music",15660,2010-03-18,
6,tt1556078,2012-01-27,2012-01-27,,Funny or Die Presents...,https://www.imdb.com/title/tt1556078/,tvSeries,5.6,,2007,Comedy,1254,2010-02-19,
7,tt1553644,2012-01-27,2012-01-27,,The Ricky Gervais Show,https://www.imdb.com/title/tt1553644/,tvSeries,8.4,30,2010,"Animation, Comedy, Talk-Show",17013,2010-02-19,
8,tt0866442,2012-01-27,2012-01-27,,Eastbound & Down,https://www.imdb.com/title/tt0866442/,tvSeries,8.2,28,2009,"Comedy, Drama, Sport",63070,2009-02-15,
9,tt0950701,2012-01-27,2012-01-27,,The Life & Times of Tim,https://www.imdb.com/title/tt0950701/,tvSeries,8.3,900,2008,"Animation, Comedy",6826,2008-06-30,
10,tt0844441,2012-01-27,2012-01-27,,True Blood,https://www.imdb.com/title/tt0844441/,tvSeries,7.9,55,2008,"Drama, Fantasy, Mystery, Romance, Thriller",257346,2008-09-07,
11,tt0350448,2012-01-27,2012-01-27,,Real Time with Bill Maher,https://www.imdb.com/title/tt0350448/,tvSeries,7.4,60,2003,"Comedy, News, Talk-Show",14171,2003-02-21,
12,tt0264235,2012-01-27,2012-01-27,,Curb Your Enthusiasm,https://www.imdb.com/title/tt0264235/,tvSeries,8.8,28,2000,Comedy,139337,2000-10-14,
13,tt1492030,2012-01-27,2012-01-27,,Mildred Pierce,https://www.imdb.com/title/tt1492030/,tvMiniSeries,7.6,336,2011,"Crime, Drama, Mystery",23444,2011-03-21,
14,tt1299365,2012-01-27,2012-01-27,,How to Make It in America,https://www.imdb.com/title/tt1299365/,tvSeries,7.9,30,2010,"Comedy, Drama",16112,2010-02-14,
