Title,titleType,startYear,endYear,Streamer,Coproduction?,genres,Coproduction Company
"Philip Marlowe, Private Eye",tvSeries,1983,1986,HBO(Max),0,Drama,
Maximum Security,tvSeries,1984,1985,HBO(Max),0,Drama,
Oz,tvSeries,1997,2003,HBO(Max),0,Drama,
The Sopranos,tvSeries,1999,2007,HBO(Max),0,Drama,
Six Feet Under,tvSeries,2001,2005,HBO(Max),0,Drama,
The Wire,tvSeries,2002,2008,HBO(Max),0,Drama,
Carnivàle,tvSeries,2003,2005,HBO(Max),0,Drama,
Deadwood,tvSeries,2004,2006,HBO(Max),0,Drama,
Rome,tvSeries,2005,2007,HBO(Max),1,Drama,Co-production with BBC Two and Rai 2
Big Love,tvSeries,2006,2011,HBO(Max),0,Drama,
Five Days,tvSeries,2007,2010,HBO(Max),1,Drama,Co-production with BBC
John from Cincinnati,tvSeries,2007,2007,HBO(Max),0,Drama,
Tell Me You Love Me,tvSeries,2007,2007,HBO(Max),0,Drama,
In Treatment,tvSeries,2008,2021,HBO(Max),0,Drama,
True Blood,tvSeries,2008,2014,HBO(Max),0,Drama,
Boardwalk Empire,tvSeries,2010,2014,HBO(Max),0,Drama,
Treme,tvSeries,2010,2013,HBO(Max),0,Drama,
Game of Thrones,tvSeries,2011,2019,HBO(Max),0,Drama,
Luck,tvSeries,2011,2012,HBO(Max),0,Drama,
The Newsroom,tvSeries,2012,2014,HBO(Max),0,Drama,
The Leftovers,tvSeries,2014,2017,HBO(Max),0,Drama,
Vinyl,tvSeries,2016,2016,HBO(Max),0,Drama,
Westworld,tvSeries,2016,2022,HBO(Max),0,Drama,
Big Little Lies,tvSeries,2017,2019,HBO(Max),0,Drama,
The Deuce,tvSeries,2017,2019,HBO(Max),0,Drama,
Here and Now,tvSeries,2018,2018,HBO(Max),0,Drama,
Succession,tvSeries,2018,2023,HBO(Max),,Drama,
Gentleman Jack,tvSeries,2019,2022,HBO(Max),1,Drama,Co-production with BBC
His Dark Materials,tvSeries,2019,2022,HBO(Max),1,Drama,Co-production with BBC One
Perry Mason,tvSeries,2020,2023,HBO(Max),0,Drama,
Lovecraft Country,tvSeries,2020,2020,HBO(Max),0,Drama,
The Nevers,tvSeries,2021,2021,HBO(Max),0,Drama,
Winning Time: The Rise of the Lakers Dynasty,tvSeries,2022,2023,HBO(Max),0,Drama,
The Time Traveler's Wife,tvSeries,2022,2022,HBO(Max),0,Drama,
The Idol,tvSeries,2023,2023,HBO(Max),0,Drama,
Not Necessarily the News,tvSeries,1983,1990,HBO(Max),0,Comedy,
1st & Ten,tvSeries,1984,1991,HBO(Max),0,Comedy,
Encyclopedia Brown,tvSeries,1989,1990,HBO(Max),0,Comedy,
The Kids in the Hall,tvSeries,1989,1995,HBO(Max),1,Comedy,Co-production with CBC Television
The Baby-Sitters Club,tvSeries,1990,1990,HBO(Max),0,Comedy,
Dream On,tvSeries,1990,1996,HBO(Max),0,Comedy,
Hardcore TV,tvSeries,1992,1994,HBO(Max),0,Comedy,
The Larry Sanders Show,tvSeries,1992,1998,HBO(Max),0,Comedy,
Mr. Show with Bob and David,tvSeries,1995,1998,HBO(Max),0,Comedy,
Arliss,tvSeries,1996,2002,HBO(Max),0,Comedy,
The High Life,tvSeries,1996,1996,HBO(Max),0,Comedy,
Tracey Takes On...,tvSeries,1996,1999,HBO(Max),0,Comedy,
Tenacious D,tvSeries,1997,2000,HBO(Max),0,Comedy,
Sex and the City,tvSeries,1998,2004,HBO(Max),0,Comedy,
The Mind of the Married Man,tvSeries,2001,2002,HBO(Max),0,Comedy,
Da Ali G Show,tvSeries,2003,2004,HBO(Max),0,Comedy,
K Street,tvSeries,2003,2003,HBO(Max),0,Comedy,
Entourage,tvSeries,2004,2011,HBO(Max),0,Comedy,
The Comeback,tvSeries,2005,2014,HBO(Max),0,Comedy,
Extras,tvSeries,2005,2007,HBO(Max),1,Comedy,Co-production with BBC
Unscripted,tvSeries,2005,2005,HBO(Max),0,Comedy,
Lucky Louie,tvSeries,2006,2006,HBO(Max),0,Comedy,
Flight of the Conchords,tvSeries,2007,2009,HBO(Max),0,Comedy,
Little Britain USA,tvSeries,2008,2008,HBO(Max),0,Comedy,
Bored to Death,tvSeries,2009,2011,HBO(Max),0,Comedy,
Eastbound & Down,tvSeries,2009,2013,HBO(Max),0,Comedy,
Hung,tvSeries,2009,2011,HBO(Max),0,Comedy,
The No. 1 Ladies' Detective Agency,tvSeries,2009,2009,HBO(Max),1,Comedy,Co-production with BBC
Funny or Die Presents,tvSeries,2010,2011,HBO(Max),0,Comedy,
How to Make It in America,tvSeries,2010,2011,HBO(Max),0,Comedy,
The Neistat Brothers,tvSeries,2010,2010,HBO(Max),0,Comedy,
Enlightened,tvSeries,2011,2013,HBO(Max),0,Comedy,
The Boring Life of Jacqueline,tvSeries,2012,2012,HBO(Max),0,Comedy,
Girls,tvSeries,2012,2017,HBO(Max),0,Comedy,
Life's Too Short,tvSeries,2012,2013,HBO(Max),1,Comedy,Co-production with BBC Two
Veep,tvSeries,2012,2019,HBO(Max),0,Comedy,
Family Tree,tvSeries,2013,2013,HBO(Max),1,Comedy,Co-production with BBC Two
Getting On,tvSeries,2013,2015,HBO(Max),0,Comedy,
Hello Ladies,tvSeries,2013,2014,HBO(Max),0,Comedy,
Looking,tvSeries,2014,2016,HBO(Max),0,Comedy,
Silicon Valley,tvSeries,2014,2019,HBO(Max),0,Comedy,
Ballers,tvSeries,2015,2019,HBO(Max),0,Comedy,
The Brink,tvSeries,2015,2015,HBO(Max),0,Comedy,
Togetherness,tvSeries,2015,2016,HBO(Max),0,Comedy,
Divorce,tvSeries,2016,2019,HBO(Max),0,Comedy,
High Maintenance,tvSeries,2016,2020,HBO(Max),0,Comedy,
