imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,genres,imdb_rating,imdb_no_votes,Streamer,directors,writers,Age,imdb_id2,tmdb_id
tt12574336,tvSeries,Homemade,Homemade,2020,0,138,Drama,6.1,877.0,Netflix,"nm3235877,nm1135329,nm1290515,nm0149446,nm0350454,nm0442905,nm1701024,nm1883257,nm0133326,nm1868177,nm3534176,nm0533284,nm1121126,nm1848588,nm2509638,nm0771923,nm0815204,nm0829576","nm2213147,nm1883257,nm0585747,nm3235877,nm9161435,nm0074488,nm9161436,nm1135329,nm1802053,nm1290515,nm0149446,nm11708942,nm1227232,nm11708943,nm2178754,nm2884309,nm0350454,nm11708944,nm0133326,nm10708850,nm1868177,nm3534176,nm0533284,nm5010127,nm3227034,nm1121126,nm2509638,nm0771923,nm0815204,nm0829576,nm1471503",TV-MA,12574336,105465.0
tt10675488,tvSeries,Astronomy Club,Astronomy Club,2019,2019,20,Comedy,7.0,657.0,Netflix,"nm1766495,nm4627559,nm1545689","nm4873809,nm6502788,nm3029839,nm7186319,nm3320341,nm2652767,nm2752813,nm1545689,nm1876159",TV-MA,10675488,96218.0
tt6035850,tvSeries,Kulipari,Kulipari,2016,2023,20,"Action,Adventure,Animation",6.8,290.0,Netflix,nm0832309,"nm8454485,nm8435807,nm0832309,nm2783316",TV-Y7,6035850,74222.0
tt5874596,tvSeries,World of Winx,World of Winx,2016,2017,30,"Action,Animation,Comedy",6.7,811.0,Netflix,nm1709238,"nm5405867,nm2862831,nm9655723,nm0455468,nm1709238,nm9655722,nm9655797,nm2905234,nm9655798",TV-Y7,5874596,69919.0
tt5038900,tvSeries,Legend Quest,Legend Quest,2017,2017,22,"Adventure,Animation,Comedy",7.3,532.0,Netflix,"nm8804522,nm7885415,nm3410195,nm5293076,nm8804521,nm3442403,nm3177913","nm0022688,nm1491111,nm0471172,nm5464901,nm4660381,nm4287835,nm0389280,nm0614014,nm7355913,nm2004812",TV-Y7,5038900,77025.0
tt7924854,tvSeries,Luna Petunia: Return to Amazia,Luna Petunia: Return to Amazia,2018,2018,0,Animation,4.9,49.0,Netflix,nm2308438,"nm4964602,nm0328817,nm1414808,nm0403945,nm0509769,nm8581221,nm2090106,nm1054974,nm1718053",TV-Y,7924854,76809.0
tt12411074,tvSeries,Paranormal,Paranormal,2020,2020,45,"Drama,Fantasy,Horror",8.0,74071.0,Netflix,"nm1782844,nm4211435","nm1782844,nm11956511,nm6039268,nm11616860,nm4520722",TV-14,12411074,9922.0
tt11725706,tvSeries,Taj Mahal 1989,Taj Mahal 1989,2020,0,0,"Comedy,Drama,Romance",7.5,1691.0,Netflix,nm6500222,nm6500222,16,11725706,99387.0
tt12775836,tvSeries,Bhaag Beanie Bhaag,Bhaag Beanie Bhaag,2020,0,29,Comedy,3.6,6749.0,Netflix,"nm8379177,nm0619750,nm3066240","nm12078930,nm3398282,nm10844735,nm3939345,nm4162819",TV-MA,12775836,114185.0
tt10027990,tvMiniSeries,Persona,Persona,2019,2019,20,"Drama,Thriller",6.5,1422.0,Netflix,"nm5396854,nm1941507,nm3209293,nm2133235","nm5396854,nm2133235,nm1941507",13,10027990,214626.0
tt6626676,tvSeries,Samantha!,Samantha!,2018,2019,27,Comedy,6.6,539.0,Netflix,"nm1155504,nm2998472,nm1806027,nm0347254","nm1806027,nm2780514,nm6873555,nm4140344,nm8836239,nm0990108,nm3902488,nm5888483,nm5114690,nm5142517",14,6626676,65592.0
