imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,imdb_rating,imdb_no_votes,Streamer,Age,imdb_id2,tmdb_id,writer_1,writer_2,writer_3,director_1,director_2,director_3,genre_1,genre_2,director_1_name,director_2_name,director_3_name,writer_1_name,writer_2_name,writer_3_name,ep_run_times,writer_1_pop,writer_2_pop,writer_3_pop,director_1_pop,director_2_pop,director_3_pop,tmdb_popularity,no_of_ep,no_of_seasons,team_popularity,origin_language,creator/actor?,first_country,second_country,actor_1_name,actor_2_name,cast_pop,actor_1_pop,actor_2_pop
tt1856010,tvSeries,House of Cards,House of Cards,2013,2018,3804,8.6,525135,Netflix,18,1856010,1425,203577,229645,2802722,1226,705,171315,Drama,Drama,James Foley,Robin Wright,John David Coles,Andrew Davies,Michael Dobbs,Beau Willimon,73,6.6,1.4,5.2,7.0,22.5,2.8,889.4,73,6,7.6,en,0,US,US,Robin Wright, Michael Kelly,31.0,35.6,26.5
tt2309295,tvSeries,Hemlock Grove,Hemlock Grove,2013,2015,46,7.0,42205,Netflix,18,2309295,42295,2992029,794106,290130,3393440,797455,7008,Drama,Fantasy,Carl Tibbetts,Floria Sigismondi,David Petrarca,Brian McGreevy,Lee Shipman,David Paul Francis,60,1.4,1.4,2.3,1.5,3.0,4.9,134.7,33,3,2.4,en,0,US,US,Landon Liboiron, Bill Skarsgård,38.4,18.5,58.3
tt2372162,tvSeries,Orange Is the New Black,Orange Is the New Black,2013,2019,59,8.0,316768,Netflix,18,2372162,1424,463176,5246353,6371396,530,8971,872841,Comedy,Crime,Andrew McCarthy,Phil Abraham,Michael Trim,Jenji Kohan,Piper Kerman,Anthony Natoli,60,2.6,2.6,0.6,14.8,1.3,0.6,278.5,91,7,3.7,en,0,US,US,Taylor Schilling, Natasha Lyonne,20.4,28.4,12.3
tt2189461,tvSeries,Marco Polo,Marco Polo,2014,2016,60,8.0,77293,Netflix,18,2189461,60699,299301,4063095,3250138,590889,7008,2399,Action,Adventure,Daniel Minahan,David Petrarca,Alik Sakharov,John Fusco,Matthew White,Noelle Valdivia,60,3.3,0.6,0.6,2.6,4.9,1.4,167.2,20,2,2.2,en,0,US,US,Lorenzo Richelmy, Benedict Wong,21.4,18.3,24.4
tt3520702,tvSeries,Bloodline,Bloodline,2015,2017,60,7.9,57529,Netflix,18,3520702,61986,450331,450393,954664,405632,450393,80601,Drama,Thriller,Mikael Håfström,Todd A. Kessler,Ed Bianchi,Glenn Kessler,Todd A. Kessler,Daniel Zelman,60,1.5,1.4,4.7,2.6,1.4,1.0,240.1,33,3,2.1,en,0,US,US,Kyle Chandler, Linda Cardellini,33.6,34.3,32.8
tt3322312,tvSeries,Daredevil,Daredevil,2015,2018,54,8.6,466426,Netflix,18,3322312,61889,1152450,1206844,498278,8971,839660,387486,Action,Crime,Phil Abraham,Stephen Surjik,Peter Hoar,Bill Everett,Drew Goddard,Stan Lee,52,0.6,9.8,14.2,1.3,4.3,2.9,354.4,39,3,5.5,en,0,US,US,Charlie Cox, Deborah Ann Woll,38.9,37.4,40.5
tt2431438,tvSeries,Sense8,Sense8,2015,2018,60,8.2,161239,Netflix,18,2431438,61664,833089,905154,905152,905154,905152,574625,Drama,Mystery,Lana Wachowski,Lilly Wachowski,James McTeigue,J. Michael Straczynski,Lana Wachowski,Lilly Wachowski,60,4.4,20.5,9.5,20.5,9.5,6.5,217.9,24,2,11.8,en,0,US,US,Miguel Ángel Silvestre, Max Riemelt,24.8,31.7,17.8
tt2707408,tvSeries,Narcos,Narcos,2015,2017,49,8.8,459579,Netflix,18,2707408,63351,76166,104333,1215164,1223381,2129610,2036500,Biography,Crime,Andrés Baiz,Josef Kubota Wladyka,Fernando Coimbra,Carlo Bernard,Chris Brancato,Doug Miro,57,1.4,5.1,3.7,2.5,4.1,0.6,194.3,30,3,2.9,en,0,US,US,Pedro Pascal, Matias Varela,74.9,128.3,21.5
tt2357547,tvSeries,Jessica Jones,Jessica Jones,2015,2019,56,7.9,224144,Netflix,18,2357547,38472,1144314,7584292,742279,839660,315298,3802,Action,Crime,Stephen Surjik,Jennifer Getzinger,Uta Briesewitz,Brian Michael Bendis,Michael Gaydos,Melissa Rosenberg,52,1.5,0.6,5.1,4.3,2.2,2.5,213.8,39,3,2.7,en,0,US,US,Krysten Ritter, Rachael Taylor,37.5,39.1,35.9
tt4592410,tvSeries,The Get Down,The Get Down,2016,2017,52,8.2,23465,Netflix,18,4592410,65345,12289,525303,3228766,80601,2425863,76997,Drama,Music,Ed Bianchi,Mack Williams,Andrew Bernstein,Stephen Adly Guirgis,Baz Luhrmann,Jacqui Rivera,52,3.4,5.3,0.6,1.0,0.8,1.8,62.1,11,1,2.2,en,0,US,US,Justice Smith, Shameik Moore,31.3,40.0,22.6
tt3322314,tvSeries,Luke Cage,Luke Cage,2016,2018,55,7.3,137913,Netflix,18,3322314,62126,1854539,2745499,739661,323758,1305344,424800,Action,Crime,Andy Goddard,Marc Jobst,Clark Johnson,Cheo Hodari Coker,Archie Goodwin,John Romita Sr.,46,1.7,0.8,1.3,1.3,1.8,7.6,195.0,26,2,2.4,en,0,US,US,Mike Colter, Alfre Woodard,23.0,29.8,16.1
tt4635282,tvSeries,The OA,The OA,2016,2019,60,7.8,113218,Netflix,18,4635282,69061,2610231,1779870,5505530,2610231,354091,2326407,Drama,Fantasy,Zal Batmanglij,Andrew Haigh,Zal Batmanglij,Zal Batmanglij,Brit Marling,Dominic Orlando,60,3.3,17.6,1.0,3.3,2.7,3.3,149.3,16,2,5.2,en,0,US,US,Brit Marling, Jason Isaacs,38.2,39.2,37.3
