imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,imdb_rating,imdb_no_votes,Streamer,Age,imdb_id2,tmdb_id,writer_1,writer_2,writer_3,director_1,director_2,director_3,genre_1,genre_2,director_1_name,director_2_name,director_3_name,writer_1_name,writer_2_name,writer_3_name,ep_run_times,writer_1_pop,writer_2_pop,writer_3_pop,director_1_pop,director_2_pop,director_3_pop,tmdb_popularity,no_of_ep,no_of_seasons,team_popularity,origin_language,origin_country,actors,creator/actor?
tt1856010,tvSeries,House of Cards,House of Cards,2013,2018,3804,8.6,525135,Netflix,18,1856010,1425,203577,229645,2802722,1226,705,171315,Drama,Drama,James Foley,Robin Wright,John David Coles,Andrew Davies,Michael Dobbs,Beau Willimon,73,6.627,1.4,5.179,6.96,22.474,2.779,889.399,73,6,7.569833333333334,en,['US'],"('Robin Wright', 'Michael Kelly')",0
tt2309295,tvSeries,Hemlock Grove,Hemlock Grove,2013,2015,46,7.0,42205,Netflix,18,2309295,42295,2992029,794106,290130,3393440,797455,7008,Drama,Fantasy,Carl Tibbetts,Floria Sigismondi,David Petrarca,Brian McGreevy,Lee Shipman,David Paul Francis,60,1.4,1.4,2.316,1.538,2.989,4.906,134.658,33,3,2.4248333333333334,en,['US'],"('Landon Liboiron', 'Bill Skarsgård')",0
tt2372162,tvSeries,Orange Is the New Black,Orange Is the New Black,2013,2019,59,8.0,316768,Netflix,18,2372162,1424,463176,5246353,6371396,530,8971,872841,Comedy,Crime,Andrew McCarthy,Phil Abraham,Michael Trim,Jenji Kohan,Piper Kerman,Anthony Natoli,60,2.559,2.559,0.6,14.757,1.252,0.6,278.534,91,7,3.7211666666666674,en,['US'],"('Taylor Schilling', 'Natasha Lyonne')",0
tt2189461,tvSeries,Marco Polo,Marco Polo,2014,2016,60,8.0,77293,Netflix,18,2189461,60699,299301,4063095,3250138,590889,7008,2399,Action,Adventure,Daniel Minahan,David Petrarca,Alik Sakharov,John Fusco,Matthew White,Noelle Valdivia,60,3.33,0.6,0.6,2.608,4.906,1.4,167.187,20,2,2.2406666666666664,en,['US'],"('Lorenzo Richelmy', 'Benedict Wong')",0
tt3520702,tvSeries,Bloodline,Bloodline,2015,2017,60,7.9,57529,Netflix,18,3520702,61986,450331,450393,954664,405632,450393,80601,Drama,Thriller,Mikael Håfström,Todd A. Kessler,Ed Bianchi,Glenn Kessler,Todd A. Kessler,Daniel Zelman,60,1.481,1.4,4.722,2.563,1.4,1.007,240.065,33,3,2.0955,en,['US'],"('Kyle Chandler', 'Linda Cardellini')",0
tt3322312,tvSeries,Daredevil,Daredevil,2015,2018,54,8.6,466426,Netflix,18,3322312,61889,1152450,1206844,498278,8971,839660,387486,Action,Crime,Phil Abraham,Stephen Surjik,Peter Hoar,Bill Everett,Drew Goddard,Stan Lee,52,0.6,9.754,14.247,1.252,4.343,2.889,354.41,39,3,5.514166666666667,en,['US'],"('Charlie Cox', 'Deborah Ann Woll')",0
tt2431438,tvSeries,Sense8,Sense8,2015,2018,60,8.2,161239,Netflix,18,2431438,61664,833089,905154,905152,905154,905152,574625,Drama,Mystery,Lana Wachowski,Lilly Wachowski,James McTeigue,J. Michael Straczynski,Lana Wachowski,Lilly Wachowski,60,4.378,20.514,9.502,20.514,9.502,6.529,217.888,24,2,11.823166666666664,en,['US'],"('Miguel Ángel Silvestre', 'Max Riemelt')",0
tt2707408,tvSeries,Narcos,Narcos,2015,2017,49,8.8,459579,Netflix,18,2707408,63351,76166,104333,1215164,1223381,2129610,2036500,Biography,Crime,Andrés Baiz,Josef Kubota Wladyka,Fernando Coimbra,Carlo Bernard,Chris Brancato,Doug Miro,57,1.378,5.113,3.661,2.454,4.061,0.6,194.313,30,3,2.8778333333333337,en,['US'],"('Pedro Pascal', 'Matias Varela')",0
tt2357547,tvSeries,Jessica Jones,Jessica Jones,2015,2019,56,7.9,224144,Netflix,18,2357547,38472,1144314,7584292,742279,839660,315298,3802,Action,Crime,Stephen Surjik,Jennifer Getzinger,Uta Briesewitz,Brian Michael Bendis,Michael Gaydos,Melissa Rosenberg,52,1.482,0.6,5.134,4.343,2.237,2.472,213.774,39,3,2.7113333333333336,en,['US'],"('Krysten Ritter', 'Rachael Taylor')",0
tt4592410,tvSeries,The Get Down,The Get Down,2016,2017,52,8.2,23465,Netflix,18,4592410,65345,12289,525303,3228766,80601,2425863,76997,Drama,Music,Ed Bianchi,Mack Williams,Andrew Bernstein,Stephen Adly Guirgis,Baz Luhrmann,Jacqui Rivera,52,3.431,5.341,0.6,1.007,0.828,1.789,62.148,11,1,2.166,en,['US'],"('Justice Smith', 'Shameik Moore')",0
tt3322314,tvSeries,Luke Cage,Luke Cage,2016,2018,55,7.3,137913,Netflix,18,3322314,62126,1854539,2745499,739661,323758,1305344,424800,Action,Crime,Andy Goddard,Marc Jobst,Clark Johnson,Cheo Hodari Coker,Archie Goodwin,John Romita Sr.,46,1.675,0.84,1.266,1.252,1.823,7.594,194.997,26,2,2.4083333333333337,en,['US'],"('Mike Colter', 'Alfre Woodard')",0
