imdb_id,tmdb_id,Title,titleType,startYear,endYear,Streamer,Age,genre_1,genre_2,creator/actor?,origin_language,director_1_name,director_2_name,originalTitle,writer_1_imdb#,writer_2_imdb#,writer_3_imdb#,director_1_imdb#,director_2_imdb#,director_3_imdb#,director_3_name,writer_1_name,writer_2_name,writer_3_name,ep_run_times,writer_1_pop,writer_2_pop,writer_3_pop,director_1_pop,director_2_pop,director_3_pop,tmdb_popularity,no_of_ep,no_of_seasons,first_country,second_country,actor_1_pop,actor_2_pop,actor_1_name,actor_2_name,cast_pop,team_popularity,imdb_rating,imdb_no_votes,total_popularity
1856010,1425,House of Cards,tvSeries,2013,2018,Netflix,18,Drama,Drama,0,en,James Foley,Robin Wright,House of Cards,203577,229645,2802722,1226,705,171315,John David Coles,Andrew Davies,Michael Dobbs,Beau Willimon,73,6.6,1.4,5.2,7.0,22.5,2.8,889.4,73,6,US,US,35.6,26.5,Robin Wright, Michael Kelly,31.0,7.6,8.6,525135,5.76
2309295,42295,Hemlock Grove,tvSeries,2013,2015,Netflix,18,Drama,Fantasy,0,en,Carl Tibbetts,Floria Sigismondi,Hemlock Grove,2992029,794106,290130,3393440,797455,7008,David Petrarca,Brian McGreevy,Lee Shipman,David Paul Francis,60,1.4,1.4,2.3,1.5,3.0,4.9,134.7,33,3,US,US,18.5,58.3,Landon Liboiron, Bill Skarsgård,38.4,2.4,7.0,42205,4.58
2372162,1424,Orange Is the New Black,tvSeries,2013,2019,Netflix,18,Comedy,Crime,0,en,Andrew McCarthy,Phil Abraham,Orange Is the New Black,463176,5246353,6371396,530,8971,872841,Michael Trim,Jenji Kohan,Piper Kerman,Anthony Natoli,60,2.6,2.6,0.6,14.8,1.3,0.6,278.5,91,7,US,US,28.4,12.3,Taylor Schilling, Natasha Lyonne,20.4,3.7,8.0,316768,5.32
2189461,60699,Marco Polo,tvSeries,2014,2016,Netflix,18,Action,Adventure,0,en,Daniel Minahan,David Petrarca,Marco Polo,299301,4063095,3250138,590889,7008,2399,Alik Sakharov,John Fusco,Matthew White,Noelle Valdivia,60,3.3,0.6,0.6,2.6,4.9,1.4,167.2,20,2,US,US,18.3,24.4,Lorenzo Richelmy, Benedict Wong,21.4,2.2,8.0,77293,5.04
3520702,61986,Bloodline,tvSeries,2015,2017,Netflix,18,Drama,Thriller,0,en,Mikael Håfström,Todd A. Kessler,Bloodline,450331,450393,954664,405632,450393,80601,Ed Bianchi,Glenn Kessler,Todd A. Kessler,Daniel Zelman,60,1.5,1.4,4.7,2.6,1.4,1.0,240.1,33,3,US,US,34.3,32.8,Kyle Chandler, Linda Cardellini,33.6,2.1,7.9,57529,5.01
3322312,61889,Daredevil,tvSeries,2015,2018,Netflix,18,Action,Crime,0,en,Phil Abraham,Stephen Surjik,Daredevil,1152450,1206844,498278,8971,839660,387486,Peter Hoar,Bill Everett,Drew Goddard,Stan Lee,52,0.6,9.8,14.2,1.3,4.3,2.9,354.4,39,3,US,US,37.4,40.5,Charlie Cox, Deborah Ann Woll,38.9,5.5,8.6,466426,5.61
2431438,61664,Sense8,tvSeries,2015,2018,Netflix,18,Drama,Mystery,0,en,Lana Wachowski,Lilly Wachowski,Sense8,833089,905154,905152,905154,905152,574625,James McTeigue,J. Michael Straczynski,Lana Wachowski,Lilly Wachowski,60,4.4,20.5,9.5,20.5,9.5,6.5,217.9,24,2,US,US,31.7,17.8,Miguel Ángel Silvestre, Max Riemelt,24.8,11.8,8.2,161239,5.25
2707408,63351,Narcos,tvSeries,2015,2017,Netflix,18,Biography,Crime,0,en,Andrés Baiz,Josef Kubota Wladyka,Narcos,76166,104333,1215164,1223381,2129610,2036500,Fernando Coimbra,Carlo Bernard,Chris Brancato,Doug Miro,57,1.4,5.1,3.7,2.5,4.1,0.6,194.3,30,3,US,US,128.3,21.5,Pedro Pascal, Matias Varela,74.9,2.9,8.8,459579,5.58
2357547,38472,Jessica Jones,tvSeries,2015,2019,Netflix,18,Action,Crime,0,en,Stephen Surjik,Jennifer Getzinger,Jessica Jones,1144314,7584292,742279,839660,315298,3802,Uta Briesewitz,Brian Michael Bendis,Michael Gaydos,Melissa Rosenberg,52,1.5,0.6,5.1,4.3,2.2,2.5,213.8,39,3,US,US,39.1,35.9,Krysten Ritter, Rachael Taylor,37.5,2.7,7.9,224144,5.19
4592410,65345,The Get Down,tvSeries,2016,2017,Netflix,18,Drama,Music,0,en,Ed Bianchi,Mack Williams,The Get Down,12289,525303,3228766,80601,2425863,76997,Andrew Bernstein,Stephen Adly Guirgis,Baz Luhrmann,Jacqui Rivera,52,3.4,5.3,0.6,1.0,0.8,1.8,62.1,11,1,US,US,40.0,22.6,Justice Smith, Shameik Moore,31.3,2.2,8.2,23465,4.79
3322314,62126,Luke Cage,tvSeries,2016,2018,Netflix,18,Action,Crime,0,en,Andy Goddard,Marc Jobst,Luke Cage,1854539,2745499,739661,323758,1305344,424800,Clark Johnson,Cheo Hodari Coker,Archie Goodwin,John Romita Sr.,46,1.7,0.8,1.3,1.3,1.8,7.6,195.0,26,2,US,US,29.8,16.1,Mike Colter, Alfre Woodard,23.0,2.4,7.3,137913,4.91
4635282,69061,The OA,tvSeries,2016,2019,Netflix,18,Drama,Fantasy,0,en,Zal Batmanglij,Andrew Haigh,The OA,2610231,1779870,5505530,2610231,354091,2326407,Zal Batmanglij,Zal Batmanglij,Brit Marling,Dominic Orlando,60,3.3,17.6,1.0,3.3,2.7,3.3,149.3,16,2,US,US,39.2,37.3,Brit Marling, Jason Isaacs,38.2,5.2,7.8,113218,5.01
4834206,65294,A Series of Unfortunate Events,tvSeries,2017,2019,Netflix,7,Adventure,Comedy,0,en,Barry Sonnenfeld,Bo Welch,A Series of Unfortunate Events,3321780,1428524,6220567,1756,919514,657372,Barry Sonnenfeld,Joshua Conkel,Emily Fox,Sigrid Gilmer,52,0.6,0.9,1.0,6.9,7.2,6.9,297.5,25,3,US,US,37.9,30.6,Neil Patrick Harris, Patrick Warburton,34.3,3.9,7.8,65625,5.03
3322310,62127,Iron Fist,tvSeries,2017,2018,Netflix,18,Action,Adventure,0,en,Stephen Surjik,John Dahl,Iron Fist,118420,437314,859471,839660,1093,1879225,Stephen Surjik,Scott Buck,Gil Kane,Roy Thomas,55,2.9,1.3,2.8,4.3,5.3,4.3,96.9,23,2,US,US,32.9,44.5,Finn Jones, Jessica Henwick,38.7,3.5,6.4,137876,4.51
1837492,66788,13 Reasons Why,tvSeries,2017,2020,Netflix,18,Drama,Mystery,0,en,Kyle Patrick Alvarez,John T. Kretchmer,13 Reasons Why,4311145,5039329,9507493,1547859,470971,517877,Kyle Patrick Alvarez,Jay Asher,Brian Yorkey,Julia Bicknell,57,0.6,1.2,0.7,3.6,11.5,3.6,162.0,49,4,US,US,25.1,5.3,Dylan Minnette, Grace Saif,15.2,3.5,7.5,311088,5.07
6928052,72462,Free Rein,tvSeries,2017,2019,Netflix,0,Action,Adventure,0,en,Rob Burke,Dusan Lazarevic,Free Rein,3278413,1590372,2283188,1637400,1595299,1398781,Rob Burke,Vicki Lutas,Anna McCleery,Kevin Rundle,26,1.4,1.4,0.8,0.8,0.6,0.8,115.1,30,3,US,US,17.8,23.8,Jaylen Barron, Celine Buckens,20.8,1.0,7.2,2432,4.22
5503718,66939,Gypsy,tvSeries,2017,2017,Netflix,18,Drama,Thriller,0,en,Coky Giedroyc,Victoria Mahoney,Gypsy,2599842,4568816,413005,317328,537199,2399,Coky Giedroyc,Jonathan Caren,Lisa Rubin,Sean Jablonski,51,0.6,1.4,1.2,1.2,2.4,1.2,67.3,10,1,US,US,36.8,41.6,Naomi Watts, Billy Crudup,39.2,1.3,6.7,18424,4.26
6076336,73602,Greenhouse Academy,tvSeries,2017,2020,Netflix,7,Adventure,Comedy,0,en,Roee Florentin,Amir Mann,Greenhouse Academy,2073166,1328493,1052109,1937128,1166154,1937128,Roee Florentin,Giora Chamizer,Paula Yoo,Janae Bakken,30,0.8,1.0,0.6,0.6,0.6,0.6,59.6,40,4,US,US,9.0,10.3,Ariel Mortman, Finn Roberts,9.6,0.7,6.6,6800,4.07
5290382,67744,Mindhunter,tvSeries,2017,2019,Netflix,18,Crime,Drama,0,en,David Fincher,Carl Franklin,Mindhunter,235123,647833,671856,399,2083,1497918,David Fincher,John Douglas,Mark Olshaker,Joe Penhall,50,0.6,1.0,4.9,20.0,1.9,20.0,207.5,19,2,US,US,13.7,25.2,Jonathan Groff, Holt McCallany,19.4,8.1,8.6,324435,5.48
5675620,67178,The Punisher,tvSeries,2017,2019,Netflix,18,Action,Crime,0,en,Jim O'Hanlon,Antonio Campos,The Punisher,2613887,176689,1479450,1317262,1290515,4945419,Jim O'Hanlon,Ross Andru,Gerry Conway,Ken Kristensen,53,1.1,5.2,1.3,1.2,3.1,1.2,264.5,26,2,US,US,74.4,32.3,Jon Bernthal, Ben Barnes,53.4,2.2,8.5,258863,5.45
