imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,imdb_rating,imdb_no_votes,Streamer,Age,imdb_id2,tmdb_id,creators,writer_1,writer_2,writer_3,director_1,director_2,director_3,genre_1,genre_2,director_1_name,director_2_name,director_3_name
tt1856010,tvSeries,House of Cards,House of Cards,2013,2018,3804,8.6,525135.0,Netflix,18,1856010,1425,Beau Willimon,0203577,0229645,2802722,0001226,0000705,0171315,Drama,,James Foley,Robin Wright,John David Coles
tt2309295,tvSeries,Hemlock Grove,Hemlock Grove,2013,2015,46,7.0,42205.0,Netflix,18,2309295,42295,Brian McGreevy,2992029,0794106,0290130,3393440,0797455,0007008,Drama,Fantasy,Carl Tibbetts,Floria Sigismondi,David Petrarca
tt2372162,tvSeries,Orange Is the New Black,Orange Is the New Black,2013,2019,59,8.0,316768.0,Netflix,18,2372162,1424,Jenji Kohan,0463176,5246353,6371396,0000530,0008971,0872841,Comedy,Crime,Andrew McCarthy,Phil Abraham,Michael Trim
tt2189461,tvSeries,Marco Polo,Marco Polo,2014,2016,60,8.0,77293.0,Netflix,18,2189461,60699,John Fusco,0299301,4063095,3250138,0590889,0007008,0002399,Action,Adventure,Daniel Minahan,David Petrarca,Alik Sakharov
tt3520702,tvSeries,Bloodline,Bloodline,2015,2017,60,7.9,57529.0,Netflix,18,3520702,61986,"('Daniel Zelman', 'Glenn Kessler', 'Todd A. Kessler')",0450331,0450393,0954664,0405632,0450393,0080601,Drama,Thriller,Mikael Håfström,Todd A. Kessler,Ed Bianchi
tt3322312,tvSeries,Daredevil,Daredevil,2015,2018,54,8.6,466426.0,Netflix,18,3322312,61889,Drew Goddard,1152450,1206844,0498278,0008971,0839660,0387486,Action,Crime,Phil Abraham,Stephen Surjik,Peter Hoar
tt2431438,tvSeries,Sense8,Sense8,2015,2018,60,8.2,161239.0,Netflix,18,2431438,61664,"('Lilly Wachowski', 'Lana Wachowski', 'J. Michael Straczynski')",0833089,0905154,0905152,0905154,0905152,0574625,Drama,Mystery,Lana Wachowski,Lilly Wachowski,James McTeigue
tt2707408,tvSeries,Narcos,Narcos,2015,2017,49,8.8,459579.0,Netflix,18,2707408,63351,"('Chris Brancato', 'Doug Miro', 'Carlo Bernard')",0076166,0104333,1215164,1223381,2129610,2036500,Biography,Crime,Andrés Baiz,Josef Kubota Wladyka,Fernando Coimbra
tt2357547,tvSeries,Jessica Jones,Jessica Jones,2015,2019,56,7.9,224144.0,Netflix,18,2357547,38472,Melissa Rosenberg,1144314,7584292,0742279,0839660,0315298,0003802,Action,Crime,Stephen Surjik,Jennifer Getzinger,Uta Briesewitz
tt4592410,tvSeries,The Get Down,The Get Down,2016,2017,52,8.2,23465.0,Netflix,18,4592410,65345,Baz Luhrmann,0012289,0525303,3228766,0080601,2425863,0076997,Drama,Music,Ed Bianchi,Mack Williams,Andrew Bernstein
tt3322314,tvSeries,Luke Cage,Luke Cage,2016,2018,55,7.3,137913.0,Netflix,18,3322314,62126,Cheo Hodari Coker,1854539,2745499,0739661,0323758,1305344,0424800,Action,Crime,Andy Goddard,Marc Jobst,Clark Johnson
tt4635282,tvSeries,The OA,The OA,2016,2019,60,7.8,113218.0,Netflix,18,4635282,69061,"('Brit Marling', 'Zal Batmanglij')",2610231,1779870,5505530,2610231,0354091,2326407,Drama,Fantasy,Zal Batmanglij,Andrew Haigh,
tt4834206,tvSeries,A Series of Unfortunate Events,A Series of Unfortunate Events,2017,2019,50,7.8,65625.0,Netflix,7,4834206,65294,"('Barry Sonnenfeld', 'Daniel Handler')",3321780,1428524,6220567,0001756,0919514,0657372,Adventure,Comedy,Barry Sonnenfeld,Bo Welch,
tt3322310,tvSeries,Iron Fist,Iron Fist,2017,2018,55,6.4,137876.0,Netflix,18,3322310,62127,Scott Buck,0118420,0437314,0859471,0839660,0001093,1879225,Action,Adventure,Stephen Surjik,John Dahl,
tt1837492,tvSeries,13 Reasons Why,13 Reasons Why,2017,2020,60,7.5,311088.0,Netflix,18,1837492,66788,Brian Yorkey,4311145,5039329,9507493,1547859,0470971,0517877,Drama,Mystery,Kyle Patrick Alvarez,John T. Kretchmer,
tt6928052,tvSeries,Free Rein,Free Rein,2017,2019,26,7.2,2432.0,Netflix,0,6928052,72462,"('Vicki Lutas', 'Anna McCleery', 'Kirstie Falkous')",3278413,1590372,2283188,1637400,1595299,1398781,Action,Adventure,Rob Burke,Dusan Lazarevic,
tt5503718,tvSeries,Gypsy,Gypsy,2017,2017,51,6.7,18424.0,Netflix,18,5503718,66939,Lisa Rubin,2599842,4568816,0413005,0317328,0537199,0002399,Drama,Thriller,Coky Giedroyc,Victoria Mahoney,
tt6076336,tvSeries,Greenhouse Academy,Greenhouse Academy,2017,2020,25,6.6,6800.0,Netflix,7,6076336,73602,Giora Chamizer,2073166,1328493,1052109,1937128,1166154,,Adventure,Comedy,Roee Florentin,Amir Mann,
tt5290382,tvSeries,Mindhunter,Mindhunter,2017,2019,60,8.6,324435.0,Netflix,18,5290382,67744,Joe Penhall,0235123,0647833,0671856,0000399,0002083,1497918,Crime,Drama,David Fincher,Carl Franklin,
tt5675620,tvSeries,The Punisher,The Punisher,2017,2019,53,8.5,258863.0,Netflix,18,5675620,67178,Steve Lightfoot,2613887,0176689,1479450,1317262,1290515,4945419,Action,Crime,Jim O'Hanlon,Antonio Campos,
tt2261227,tvSeries,Altered Carbon,Altered Carbon,2018,2020,60,7.9,185267.0,Netflix,18,2261227,68421,Laeta Kalogridis,0436164,3975029,0219719,2007278,0403541,0323758,Action,Drama,Jeremy Webb,Nick Hurran,
tt6297682,tvMiniSeries,Seven Seconds,Seven Seconds,2018,2018,60,7.7,19279.0,Netflix,18,6297682,75540,Veena Sud,4021775,1184198,2800988,0317328,0225416,0001129,Crime,Drama,Coky Giedroyc,Ernest R. Dickerson,
tt5232792,tvSeries,Lost in Space,Lost in Space,2018,2021,60,7.3,104328.0,Netflix,7,5232792,3051,Irwin Allen,0000740,1948885,2332952,0816074,0839660,0394012,Adventure,Drama,Tim Southam,Stephen Surjik,
tt7692572,tvSeries,Ponysitters Club,Ponysitters Club,2017,2018,22,6.3,130.0,Netflix,0,7692572,79892,"('Elizabeth Turner', 'Nancy Yeaman')",10014555,10014041,0278031,3452373,5650585,5028410,Family,,Justin G. Dyck,Emma Jean Sutherland,
tt8021824,tvSeries,The Innocents,The Innocents,2018,2018,60,6.3,6205.0,Netflix,18,8021824,77400,"('Simon Duric', 'Hania Elkington')",2039397,2715384,2050631,1879225,4385546,,Drama,Horror,Farren Blackburn,Jamie Donoughue,
