,imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,imdb_rating,imdb_no_votes,Streamer,Age,imdb_id2,tmdb_id,creators,writer_1,writer_2,writer_3,director_1,director_2,director_3,genre_1,genre_2,director_1_name,director_2_name,director_3_name,writer_1_name,writer_2_name,writer_3_name
0,tt1856010,tvSeries,House of Cards,House of Cards,2013,2018,3804,8.6,525135.0,Netflix,18,1856010,1425,Beau Willimon,0203577,229645.0,2802722.0,0001226,705.0,171315.0,Drama,Drama,James Foley,Robin Wright,John David Coles,Andrew Davies,Michael Dobbs,Beau Willimon
1,tt2309295,tvSeries,Hemlock Grove,Hemlock Grove,2013,2015,46,7.0,42205.0,Netflix,18,2309295,42295,Brian McGreevy,2992029,794106.0,290130.0,3393440,797455.0,7008.0,Drama,Fantasy,Carl Tibbetts,Floria Sigismondi,David Petrarca,Brian McGreevy,Lee Shipman,David Paul Francis
2,tt2372162,tvSeries,Orange Is the New Black,Orange Is the New Black,2013,2019,59,8.0,316768.0,Netflix,18,2372162,1424,Jenji Kohan,0463176,5246353.0,6371396.0,0000530,8971.0,872841.0,Comedy,Crime,Andrew McCarthy,Phil Abraham,Michael Trim,Jenji Kohan,Piper Kerman,Anthony Natoli
3,tt2189461,tvSeries,Marco Polo,Marco Polo,2014,2016,60,8.0,77293.0,Netflix,18,2189461,60699,John Fusco,0299301,4063095.0,3250138.0,0590889,7008.0,2399.0,Action,Adventure,Daniel Minahan,David Petrarca,Alik Sakharov,John Fusco,Matthew White,Noelle Valdivia
4,tt3520702,tvSeries,Bloodline,Bloodline,2015,2017,60,7.9,57529.0,Netflix,18,3520702,61986,"('Daniel Zelman', 'Glenn Kessler', 'Todd A. Kessler')",0450331,450393.0,954664.0,0405632,450393.0,80601.0,Drama,Thriller,Mikael Håfström,Todd A. Kessler,Ed Bianchi,Glenn Kessler,Todd A. Kessler,Daniel Zelman
5,tt3322312,tvSeries,Daredevil,Daredevil,2015,2018,54,8.6,466426.0,Netflix,18,3322312,61889,Drew Goddard,1152450,1206844.0,498278.0,0008971,839660.0,387486.0,Action,Crime,Phil Abraham,Stephen Surjik,Peter Hoar,Bill Everett,Drew Goddard,Stan Lee
6,tt2431438,tvSeries,Sense8,Sense8,2015,2018,60,8.2,161239.0,Netflix,18,2431438,61664,"('Lilly Wachowski', 'Lana Wachowski', 'J. Michael Straczynski')",0833089,905154.0,905152.0,0905154,905152.0,574625.0,Drama,Mystery,Lana Wachowski,Lilly Wachowski,James McTeigue,J. Michael Straczynski,Lana Wachowski,Lilly Wachowski
7,tt2707408,tvSeries,Narcos,Narcos,2015,2017,49,8.8,459579.0,Netflix,18,2707408,63351,"('Chris Brancato', 'Doug Miro', 'Carlo Bernard')",0076166,104333.0,1215164.0,1223381,2129610.0,2036500.0,Biography,Crime,Andrés Baiz,Josef Kubota Wladyka,Fernando Coimbra,Carlo Bernard,Chris Brancato,Doug Miro
8,tt2357547,tvSeries,Jessica Jones,Jessica Jones,2015,2019,56,7.9,224144.0,Netflix,18,2357547,38472,Melissa Rosenberg,1144314,7584292.0,742279.0,0839660,315298.0,3802.0,Action,Crime,Stephen Surjik,Jennifer Getzinger,Uta Briesewitz,Brian Michael Bendis,Michael Gaydos,Melissa Rosenberg
9,tt4592410,tvSeries,The Get Down,The Get Down,2016,2017,52,8.2,23465.0,Netflix,18,4592410,65345,Baz Luhrmann,0012289,525303.0,3228766.0,0080601,2425863.0,76997.0,Drama,Music,Ed Bianchi,Mack Williams,Andrew Bernstein,Stephen Adly Guirgis,Baz Luhrmann,Jacqui Rivera
10,tt3322314,tvSeries,Luke Cage,Luke Cage,2016,2018,55,7.3,137913.0,Netflix,18,3322314,62126,Cheo Hodari Coker,1854539,2745499.0,739661.0,0323758,1305344.0,424800.0,Action,Crime,Andy Goddard,Marc Jobst,Clark Johnson,Cheo Hodari Coker,Archie Goodwin,John Romita Sr.
11,tt4635282,tvSeries,The OA,The OA,2016,2019,60,7.8,113218.0,Netflix,18,4635282,69061,"('Brit Marling', 'Zal Batmanglij')",2610231,1779870.0,5505530.0,2610231,354091.0,2326407.0,Drama,Fantasy,Zal Batmanglij,Andrew Haigh,Zal Batmanglij,Zal Batmanglij,Brit Marling,Dominic Orlando
12,tt4834206,tvSeries,A Series of Unfortunate Events,A Series of Unfortunate Events,2017,2019,50,7.8,65625.0,Netflix,7,4834206,65294,"('Barry Sonnenfeld', 'Daniel Handler')",3321780,1428524.0,6220567.0,0001756,919514.0,657372.0,Adventure,Comedy,Barry Sonnenfeld,Bo Welch,Barry Sonnenfeld,Joshua Conkel,Emily Fox,Sigrid Gilmer
13,tt3322310,tvSeries,Iron Fist,Iron Fist,2017,2018,55,6.4,137876.0,Netflix,18,3322310,62127,Scott Buck,0118420,437314.0,859471.0,0839660,1093.0,1879225.0,Action,Adventure,Stephen Surjik,John Dahl,Stephen Surjik,Scott Buck,Gil Kane,Roy Thomas
14,tt1837492,tvSeries,13 Reasons Why,13 Reasons Why,2017,2020,60,7.5,311088.0,Netflix,18,1837492,66788,Brian Yorkey,4311145,5039329.0,9507493.0,1547859,470971.0,517877.0,Drama,Mystery,Kyle Patrick Alvarez,John T. Kretchmer,Kyle Patrick Alvarez,Jay Asher,Brian Yorkey,Julia Bicknell
15,tt6928052,tvSeries,Free Rein,Free Rein,2017,2019,26,7.2,2432.0,Netflix,0,6928052,72462,"('Vicki Lutas', 'Anna McCleery', 'Kirstie Falkous')",3278413,1590372.0,2283188.0,1637400,1595299.0,1398781.0,Action,Adventure,Rob Burke,Dusan Lazarevic,Rob Burke,Vicki Lutas,Anna McCleery,Kevin Rundle
16,tt5503718,tvSeries,Gypsy,Gypsy,2017,2017,51,6.7,18424.0,Netflix,18,5503718,66939,Lisa Rubin,2599842,4568816.0,413005.0,0317328,537199.0,2399.0,Drama,Thriller,Coky Giedroyc,Victoria Mahoney,Coky Giedroyc,Jonathan Caren,Lisa Rubin,Sean Jablonski
