imdb_id,titleType,Title,originalTitle,startYear,endYear,runtimeMinutes,genres,imdb_rating,imdb_no_votes,Streamer,directors,writers,Age,imdb_id2,tmdb_id
tt1856010,tvSeries,House of Cards,House of Cards,2013,2018,3804,Drama,8.6,525135.0,Netflix,"nm0001226,nm0000705,nm0171315,nm0002399,nm0002083,nm0002140,nm0003163,nm0788191,nm0002339,nm0000399,nm0568224,nm0001708,nm0001093,nm1347708,nm0206259,nm0590889,nm2385621,nm0000149,nm0336241,nm0804556,nm0225416,nm0295003,nm0542642,nm4945419,nm0772095","nm0203577,nm0229645,nm2802722,nm0247495,nm5620591,nm3458490,nm1184893,nm3521294,nm2422433,nm5940483,nm0961577,nm0542535,nm5265639,nm0166498,nm3542197,nm2920012,nm2842577,nm0395842,nm3105180,nm2059056,nm0128874,nm0543911",TV-MA,1856010,1425.0
tt2309295,tvSeries,Hemlock Grove,Hemlock Grove,2013,2015,46,"Drama,Fantasy,Horror",7.0,42205.0,Netflix,"nm3393440,nm0797455,nm0007008,nm0779830,nm1127632,nm0277655,nm0622112,nm1305344,nm1065402,nm1433996,nm0000750,nm0317382,nm0764776,nm1317262,nm0833191,nm0783751,nm0317328,nm0744834","nm2992029,nm0794106,nm0290130,nm1964043,nm2642918,nm9069579,nm0086694,nm0243019,nm0251050,nm0656700,nm0894156,nm3558363,nm1988994,nm3179596,nm1911869",TV-MA,2309295,42295.0
tt2372162,tvSeries,Orange Is the New Black,Orange Is the New Black,2013,2019,59,"Comedy,Crime,Drama",8.0,316768.0,Netflix,"nm0000530,nm0008971,nm0872841,nm0538744,nm0122140,nm0762191,nm0003802,nm2451007,nm0696059,nm0000149,nm0673400,nm1217103,nm0671992,nm0025978,nm1237416,nm0315298,nm0902939,nm0376006,nm0392237,nm1455688,nm0002835,nm0110644,nm0002973,nm1980806,nm0007096,nm1571761,nm0424800,nm0005169,nm0892264","nm0463176,nm5246353,nm6371396,nm7264226,nm5551149,nm10019325,nm5615332,nm1571761,nm4977841,nm6554308,nm7729221,nm7729220,nm4030641,nm1802607,nm3612790,nm1977228,nm8531569,nm3529149,nm2284959,nm0918853,nm3059675,nm5207499,nm3266399,nm4063230,nm1127337,nm1289832,nm0295286,nm0502039,nm0266198",TV-MA,2372162,1424.0
tt2189461,tvSeries,Marco Polo,Marco Polo,2014,2016,60,"Action,Adventure,Drama",8.0,77293.0,Netflix,"nm0590889,nm0007008,nm0002399,nm0562266,nm1461392,nm1650283,nm0000750,nm0574625","nm0299301,nm4063095,nm3250138,nm0533976,nm0765438,nm0155961,nm2686621,nm2422433,nm1129521,nm0739063",TV-MA,2189461,60699.0
tt3520702,tvSeries,Bloodline,Bloodline,2015,2017,60,"Drama,Thriller",7.9,57529.0,Netflix,"nm0405632,nm0450393,nm0080601,nm2385621,nm0211523,nm0719307,nm0954664,nm0005522,nm0003733,nm0002835,nm0148116,nm0004883,nm0002083,nm0336241,nm0330140,nm0931724,nm0000776,nm0543911","nm0450331,nm0450393,nm0954664,nm3373946,nm1430258,nm5278063,nm0393809,nm2432527,nm0543911,nm1265957,nm1532982,nm0612768,nm0128874,nm0864834,nm1474176,nm3494901,nm0418023,nm0585319,nm0700463",TV-MA,3520702,61986.0
tt3322312,tvSeries,Daredevil,Daredevil,2015,2018,54,"Action,Crime,Drama",8.6,466426.0,Netflix,"nm0008971,nm0839660,nm0387486,nm0320987,nm0528186,nm1879225,nm1305344,nm3421685,nm0215299,nm0272704,nm0327064,nm0437246,nm1879589,nm0877427,nm0323758,nm0797455,nm0881461,nm0262210,nm1089736,nm0315298,nm0391905,nm0528337,nm0589284,nm1288934,nm0952352","nm1152450,nm1206844,nm0498278,nm2375717,nm0282105,nm0300800,nm1578005,nm3054695,nm1385097,nm2279977,nm4927551,nm0677956,nm3059675,nm0215299,nm1274355,nm1140282,nm2184587,nm0445931,nm0894156,nm1636629,nm1590991,nm1551542,nm1161500,nm1721731,nm2581818,nm0940071",TV-MA,3322312,61889.0
tt2431438,tvSeries,Sense8,Sense8,2015,2018,60,"Drama,Mystery,Sci-Fi",8.2,161239.0,Netflix,"nm0905154,nm0905152,nm0574625,nm0878756,nm0321922","nm0833089,nm0905154,nm0905152,nm3097752,nm3290967",TV-MA,2431438,61664.0
tt2707408,tvSeries,Narcos,Narcos,2015,2017,49,"Biography,Crime,Drama",8.8,459579.0,Netflix,"nm1223381,nm2129610,nm2036500,nm1319671,nm0622897,nm0655683,nm2239581","nm0076166,nm0104333,nm1215164,nm1321917,nm3370032,nm2834849,nm1465657,nm2210824,nm1010405,nm2027168,nm1208415,nm2024486,nm1025918,nm5404569,nm0628080,nm0008823,nm3016924,nm1469826,nm1383735,nm1123621,nm2050777,nm4546012,nm3438218,nm3103063,nm0248746,nm1852144",TV-MA,2707408,63351.0
tt2357547,tvSeries,Jessica Jones,Jessica Jones,2015,2019,56,"Action,Crime,Drama",7.9,224144.0,Netflix,"nm0839660,nm0315298,nm0003802,nm0735504,nm0148116,nm1237416,nm0007008,nm0021772,nm1450065,nm0001093,nm0317382,nm0753382,nm1278887,nm0283816,nm0295107,nm0297489,nm0528337,nm0791381,nm0819083,nm1288934,nm0095424,nm0101908,nm0188929,nm0406220,nm0499724,nm1269983,nm1270350,nm8217935","nm1144314,nm7584292,nm0742279,nm2559351,nm5120236,nm2799630,nm4182223,nm2711410,nm2385065,nm0709921,nm0053096,nm1460116,nm0295286,nm3050611,nm0448579,nm0875979,nm0938861,nm3242689,nm1499089,nm3160583,nm0260870",TV-MA,2357547,38472.0
tt4592410,tvSeries,The Get Down,The Get Down,2016,2017,52,"Drama,Music,Musical",8.2,23465.0,Netflix,"nm0080601,nm2425863,nm0076997,nm0227781,nm0525303,nm2033736,nm0424800,nm0872823","nm0012289,nm0525303,nm3228766,nm1119838,nm2584005,nm5150018,nm0742568,nm4394882,nm5732221,nm0313555",TV-MA,4592410,65345.0
